species,decimalLatitude,decimalLongitude,geometry,index_right,latitude,longitude,temp,precip,nitrogen,dist_km
Bombus terrestris,51.496348,11.941337,POINT (11.941337 51.496348),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.10484123555643475
Bombus terrestris,51.389034,11.771975,POINT (11.771975 51.389034),2,51.4,11.8,4.476254374517205,1.373574402679758,50.0,0.03009408215912209
Bombus terrestris,51.389023,11.771908,POINT (11.771908 51.389023),2,51.4,11.8,4.476254374517205,1.373574402679758,50.0,0.030160487280546086
Bombus terrestris,51.389,11.771816,POINT (11.771816 51.389),2,51.4,11.8,4.476254374517205,1.373574402679758,50.0,0.030254550996502646
Bombus terrestris,51.389023,11.771908,POINT (11.771908 51.389023),2,51.4,11.8,4.476254374517205,1.373574402679758,50.0,0.030160487280546086
Bombus terrestris,51.485722,11.933378,POINT (11.933378 51.485722),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.09199104395537987
Bombus terrestris,51.389187,11.772272,POINT (11.772272 51.389187),2,51.4,11.8,4.476254374517205,1.373574402679758,50.0,0.029761769991048247
Bombus terrestris,51.389027,11.771983,POINT (11.771983 51.389027),2,51.4,11.8,4.476254374517205,1.373574402679758,50.0,0.030089184402373022
Bombus terrestris,51.454489,11.899805,POINT (11.899805 51.454489),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.05448934892252257
Bombus terrestris,51.457009,11.897897,POINT (11.897897 51.457009),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.05704777550439707
Bombus terrestris,51.456619,11.89304,POINT (11.89304 51.456619),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.057045181750964444
Bombus terrestris,51.456634,11.890449,POINT (11.890449 51.456634),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.057433714462850886
Bombus terrestris,51.450355,11.89148,POINT (11.89148 51.450355),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.0510707002595455
Bombus terrestris,51.48916,11.924975,POINT (11.924975 51.48916),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.0925918799085531
Bombus terrestris,51.443524,11.893592,POINT (11.893592 51.443524),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.04399319310984169
Bombus terrestris,51.442612,11.893562,POINT (11.893562 51.442612),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.04309559592348005
Bombus terrestris,51.442374,11.893548,POINT (11.893548 51.442374),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.04286238654111802
Bombus terrestris,51.435476,11.903464,POINT (11.903464 51.435476),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.03564471730846225
Bombus terrestris,51.453388,11.888481,POINT (11.888481 51.453388),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.054616535087826705
Bombus terrestris,51.453542,11.888299,POINT (11.888299 51.453542),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.05480564902453059
Bombus terrestris,51.453541,11.888406,POINT (11.888406 51.453541),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.05478192691938012
Bombus terrestris,51.454601,11.886791,POINT (11.886791 51.454601),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.05617603476572363
Bombus terrestris,51.455972,11.882342,POINT (11.882342 51.455972),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.05869130896479045
Bombus terrestris,51.455712,11.885315,POINT (11.885315 51.455712),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.05761489537437324
Bombus terrestris,51.456274,11.884444,POINT (11.884444 51.456274),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.05838452031146802
Bombus terrestris,51.45675,11.892887,POINT (11.892887 51.45675),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.0571940317603167
Bombus terrestris,51.456068,11.882212,POINT (11.882212 51.456068),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.05882205001528216
Bombus terrestris,51.486033,11.941486,POINT (11.941486 51.486033),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.09551316812356293
Bombus terrestris,51.486028,11.941486,POINT (11.941486 51.486028),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.09550866442370413
Bombus terrestris,51.485992,11.941536,POINT (11.941536 51.485992),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.09549797568535516
Bombus terrestris,51.442971,11.894336,POINT (11.894336 51.442971),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.04334267800909557
Bombus terrestris,51.442468,11.893669,POINT (11.893669 51.442468),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.04293730994135488
Bombus terrestris,51.442402,11.893604,POINT (11.893604 51.442402),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.04288167930480611
Bombus terrestris,51.442415,11.893564,POINT (11.893564 51.442415),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.042900516558660076
Bombus terrestris,51.442839,11.8937,POINT (11.8937 51.442839),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.04329976814025749
Bombus terrestris,51.443615,11.893892,POINT (11.893892 51.443615),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.044040616355816846
Bombus terrestris,51.44395,11.894008,POINT (11.894008 51.44395),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.044356584223767946
Bombus terrestris,51.443494,11.89391,POINT (11.89391 51.443494),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.04391828931094914
Bombus terrestris,51.443267,11.893806,POINT (11.893806 51.443267),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.043708110517385934
Bombus terrestris,51.431376,11.892008,POINT (11.892008 51.431376),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.03237785415990532
Bombus terrestris,51.429921,11.893973,POINT (11.893973 51.429921),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.030521975198209123
Bombus terrestris,51.436595,11.912089,POINT (11.912089 51.436595),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.03854008232995709
Bombus terrestris,51.436692,11.912998,POINT (11.912998 51.436692),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.038926223397603696
Bombus terrestris,51.437596,11.91305,POINT (11.91305 51.437596),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.03979650381629072
Bombus terrestris,51.438056,11.913,POINT (11.913 51.438056),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.040215160524363726
Bombus terrestris,51.438215,11.912526,POINT (11.912526 51.438215),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.040215505728512985
Bombus terrestris,51.486028,11.941494,POINT (11.941494 51.486028),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.09551213964727112
