time,step,latitude,longitude,precip,temp,ssrd,number,surface,nitrogen,site_id
2018-11-30,0 days 14:00:00,51.3,11.9,,,,0,0.0,50.0,lat51.3_lon11.9
2018-11-30,0 days 15:00:00,51.4,11.8,,,,0,0.0,50.0,lat51.4_lon11.8
2018-11-30,0 days 15:00:00,51.4,11.9,,,,0,0.0,50.0,lat51.4_lon11.9
2018-11-30,0 days 15:00:00,51.3,11.8,,,,0,0.0,50.0,lat51.3_lon11.8
2018-11-30,0 days 15:00:00,51.3,11.9,,,,0,0.0,50.0,lat51.3_lon11.9
2018-11-30,0 days 16:00:00,51.4,11.8,,,,0,0.0,50.0,lat51.4_lon11.8
2018-11-30,0 days 16:00:00,51.4,11.9,,,,0,0.0,50.0,lat51.4_lon11.9
2018-11-30,0 days 16:00:00,51.3,11.8,,,,0,0.0,50.0,lat51.3_lon11.8
2018-11-30,0 days 16:00:00,51.3,11.9,,,,0,0.0,50.0,lat51.3_lon11.9
2018-11-30,0 days 17:00:00,51.4,11.8,,,,0,0.0,50.0,lat51.4_lon11.8
2018-11-30,0 days 17:00:00,51.4,11.9,,,,0,0.0,50.0,lat51.4_lon11.9
2018-11-30,0 days 17:00:00,51.3,11.8,,,,0,0.0,50.0,lat51.3_lon11.8
2018-11-30,0 days 17:00:00,51.3,11.9,,,,0,0.0,50.0,lat51.3_lon11.9
2018-11-30,0 days 18:00:00,51.4,11.8,,,,0,0.0,50.0,lat51.4_lon11.8
2018-11-30,0 days 18:00:00,51.4,11.9,,,,0,0.0,50.0,lat51.4_lon11.9
2018-11-30,0 days 18:00:00,51.3,11.8,,,,0,0.0,50.0,lat51.3_lon11.8
2018-11-30,0 days 18:00:00,51.3,11.9,,,,0,0.0,50.0,lat51.3_lon11.9
2018-11-30,0 days 19:00:00,51.4,11.8,,,,0,0.0,50.0,lat51.4_lon11.8
2018-11-30,0 days 19:00:00,51.4,11.9,,,,0,0.0,50.0,lat51.4_lon11.9
2018-11-30,0 days 19:00:00,51.3,11.8,,,,0,0.0,50.0,lat51.3_lon11.8
2018-11-30,0 days 19:00:00,51.3,11.9,,,,0,0.0,50.0,lat51.3_lon11.9
2018-11-30,0 days 20:00:00,51.4,11.8,,,,0,0.0,50.0,lat51.4_lon11.8
2018-11-30,0 days 20:00:00,51.4,11.9,,,,0,0.0,50.0,lat51.4_lon11.9
